city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Rawicz,2019-12-15,8.2,2.6,6.1,29.9,2.3,7.8,78.0,0.0,Patchy light rain,//cdn.weatherapi.com/weather/64x64/day/293.png
Krotoszyn,2018-01-10,4.8,1.9,3.5,18.7,7.8,7.5,88.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Krotoszyn,2018-01-05,8.6,4.1,7.1,25.9,1.4,8.9,78.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Rawicz,2019-07-15,22.4,11.9,19.6,13.0,0.5,9.9,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2017-05-16,19.8,10.5,17.1,10.8,2.3,9.8,76.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2020-07-12,19.7,11.0,17.5,17.6,0.7,9.8,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2020-07-07,16.8,12.4,15.3,23.4,0.2,10.0,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2018-05-19,17.8,7.7,15.2,18.4,0.0,8.0,79.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Belchatow,2017-05-03,14.0,6.1,11.4,15.8,0.0,10.0,80.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Kutno,2019-05-15,12.9,6.4,10.7,25.2,12.8,7.9,91.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Pleszew,2018-11-25,7.0,2.5,4.7,9.0,0.0,8.0,90.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Rawicz,2020-03-04,5.7,0.4,4.1,22.7,0.7,9.6,82.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Pleszew,2020-12-11,3.6,-2.0,1.8,16.6,0.0,8.6,90.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Plock,2017-11-02,9.8,8.9,9.6,24.1,5.5,4.5,88.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Kutno,2018-06-12,22.2,14.2,19.3,17.6,0.0,10.0,74.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Plock,2016-12-05,1.1,-2.1,-0.8,19.8,0.0,10.0,79.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Pleszew,2020-09-07,18.6,12.7,16.4,18.0,0.8,9.9,64.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Szczecin,2019-09-02,20.3,13.6,17.6,15.5,0.2,9.9,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2021-02-08,-7.8,-8.7,-8.3,33.5,11.4,0.7,88.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Kutno,2020-07-27,24.5,15.8,21.7,11.2,7.3,8.3,75.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Pleszew,2017-08-02,28.0,21.9,26.1,15.8,1.2,9.6,67.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lublin,2020-04-23,14.8,5.3,12.4,11.5,0.0,10.0,62.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lublin,2020-11-23,5.8,2.2,4.6,24.1,0.8,10.0,75.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Pleszew,2019-08-27,31.3,19.9,27.9,15.5,0.3,10.0,57.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Gostyn,2017-03-03,9.6,2.8,6.5,19.1,0.1,10.0,77.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Plock,2019-06-14,26.1,17.6,23.4,12.2,6.8,8.6,81.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Krotoszyn,2019-08-28,30.8,20.7,27.6,16.2,7.6,9.1,62.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Rawicz,2016-12-23,2.3,-1.0,0.6,14.8,0.6,3.6,92.0,0.0,Freezing fog,//cdn.weatherapi.com/weather/64x64/day/260.png
Kutno,2017-12-03,2.0,-0.8,0.2,16.6,0.0,8.0,85.0,0.0,Patchy light snow,//cdn.weatherapi.com/weather/64x64/day/323.png
Krotoszyn,2018-10-30,18.3,13.0,16.5,41.4,1.3,9.8,67.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Plock,2018-05-13,24.0,11.4,21.0,16.9,0.3,9.9,64.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Krotoszyn,2018-10-25,10.8,4.2,9.7,32.8,6.4,8.6,81.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Kutno,2016-11-04,6.4,0.3,3.8,16.2,0.1,10.0,82.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Jarocin,2017-11-08,6.3,3.3,5.0,18.0,0.1,10.0,83.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Plock,2020-04-26,13.9,2.9,11.3,13.0,0.2,10.0,64.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Plock,2018-05-24,22.6,10.6,19.8,17.6,0.0,10.0,73.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2016-10-11,9.0,4.7,7.5,13.3,1.0,7.0,89.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Jarocin,2018-10-06,18.4,9.0,15.0,17.6,0.0,10.0,62.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lublin,2020-09-07,14.4,11.5,12.9,19.8,40.3,7.1,85.0,0.0,Heavy rain,//cdn.weatherapi.com/weather/64x64/day/308.png
Wroclaw,2019-12-20,12.3,8.0,9.7,15.1,0.0,10.0,76.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Bialystok,2017-03-16,6.2,1.1,4.5,18.0,3.3,9.6,81.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Plock,2021-02-09,-5.9,-9.6,-7.4,14.0,4.7,4.7,93.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Bialystok,2017-03-03,4.3,1.1,3.3,22.3,2.3,6.1,87.0,0.0,Light sleet showers,//cdn.weatherapi.com/weather/64x64/day/362.png
Bialystok,2018-03-19,2.2,-4.5,-0.6,10.4,0.0,10.0,45.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Plock,2020-04-11,12.4,3.0,9.1,11.2,0.0,10.0,50.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Szczecin,2017-06-25,19.2,13.7,17.6,18.4,3.5,7.9,92.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Jarocin,2017-09-21,17.2,8.9,14.4,21.6,0.2,9.9,80.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lublin,2020-06-12,26.8,17.6,24.5,17.6,4.0,8.8,83.0,0.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png
Jarocin,2020-08-24,21.9,14.5,19.5,17.3,1.4,9.8,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Rawicz,2016-10-12,7.9,6.2,7.3,16.9,5.0,7.5,92.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Plock,2019-06-23,21.9,12.1,19.5,15.1,0.0,10.0,68.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Lublin,2019-02-03,6.6,2.5,4.4,21.6,0.3,9.0,90.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2019-09-08,17.7,12.4,14.9,7.6,8.6,9.3,85.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Belchatow,2021-02-19,2.9,-3.3,1.1,20.5,2.0,9.1,93.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Szczecin,2018-09-06,24.1,13.6,20.7,12.2,0.0,7.8,75.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2018-06-25,16.3,9.2,15.0,13.7,12.7,8.8,84.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Wroclaw,2020-08-16,25.8,17.5,23.0,15.8,0.3,9.9,68.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lodz,2019-03-06,9.0,1.6,6.2,23.4,0.0,10.0,68.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Gostyn,2018-09-18,27.1,15.4,23.1,15.5,0.0,10.0,61.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Rawicz,2020-09-29,17.6,11.6,14.8,13.7,0.4,9.0,79.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Lodz,2017-01-09,-5.6,-10.2,-7.7,8.3,0.0,9.0,90.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Krotoszyn,2016-11-28,2.0,-2.2,0.1,25.9,1.2,8.5,81.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Kutno,2021-01-08,-0.8,-5.3,-1.4,15.1,0.5,8.3,96.0,0.0,Moderate snow,//cdn.weatherapi.com/weather/64x64/day/332.png
Wroclaw,2017-09-13,17.8,10.4,16.0,40.3,0.5,9.9,69.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Jarocin,2019-09-04,23.2,12.9,20.0,14.0,0.0,10.0,57.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2020-07-10,25.4,14.8,21.8,25.2,4.4,8.6,80.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Krotoszyn,2019-11-27,10.3,3.4,7.4,14.4,0.3,9.0,83.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Szczecin,2020-10-02,15.5,9.6,13.8,17.3,0.1,9.0,83.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Rawicz,2019-10-24,20.0,11.3,16.1,18.7,0.0,9.0,78.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Krotoszyn,2017-09-25,17.2,11.8,14.8,16.6,4.9,9.6,84.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Jarocin,2019-12-12,2.1,-1.4,0.3,14.4,0.0,10.0,61.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Krotoszyn,2017-09-30,17.6,9.5,14.2,16.9,0.0,10.0,71.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2017-12-05,5.0,-0.2,3.5,28.8,3.8,8.8,90.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Rawicz,2019-05-24,20.5,7.0,16.7,12.2,0.0,10.0,65.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2019-05-22,20.1,10.4,17.5,16.6,2.4,7.8,82.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Gostyn,2018-01-04,7.3,4.5,6.0,32.8,0.8,9.0,76.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Jarocin,2016-10-23,10.9,2.8,7.2,12.6,0.6,7.0,86.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Lodz,2019-01-03,-0.9,-3.4,-1.8,32.8,5.3,3.4,75.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Bialystok,2017-12-23,3.1,-1.9,0.8,32.4,9.0,6.5,95.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Rawicz,2017-10-30,7.6,3.7,5.4,36.0,0.6,9.9,64.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Plock,2020-12-12,4.5,-0.2,4.0,18.7,0.0,7.2,92.0,0.0,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png
Rawicz,2017-05-30,31.7,16.1,26.3,12.6,14.0,7.8,77.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Szczecin,2020-08-10,30.9,19.0,27.8,10.8,1.0,9.7,68.0,0.0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png
Lublin,2018-02-21,-0.2,-4.7,-2.2,14.0,0.0,10.0,80.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Bialystok,2019-07-09,15.4,9.5,13.5,26.6,10.6,8.5,91.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Lublin,2018-10-28,6.6,5.7,6.1,27.4,12.3,7.0,86.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Kutno,2017-01-28,-0.4,-5.2,-2.7,13.7,0.0,10.0,83.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Lublin,2018-05-28,24.1,14.4,21.7,18.4,0.0,10.0,71.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Pleszew,2017-02-15,3.9,-3.8,0.4,8.6,0.0,10.0,66.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Jarocin,2018-04-26,14.3,6.1,11.9,27.0,2.4,9.8,76.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Krotoszyn,2020-02-15,6.4,0.7,4.1,15.1,0.0,8.0,84.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Jarocin,2020-07-12,19.8,10.8,17.5,17.3,0.1,10.0,67.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2017-04-18,4.7,0.7,3.3,21.2,6.4,7.0,85.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Krotoszyn,2018-04-02,8.5,0.7,5.0,33.8,0.44,7.8,68.0,0.0,Blowing snow,//cdn.weatherapi.com/weather/64x64/day/227.png
Krotoszyn,2018-04-17,16.9,10.8,13.9,22.0,0.5,9.9,83.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Szczecin,2018-11-14,10.7,6.7,8.4,17.6,0.1,9.0,89.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Belchatow,2020-06-09,17.9,11.0,15.9,14.0,0.1,8.7,85.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Plock,2019-10-20,19.4,11.7,16.0,10.1,0.0,10.0,77.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Pleszew,2020-03-10,10.2,3.0,7.7,27.0,0.1,9.7,74.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Jarocin,2017-06-17,15.1,11.1,13.4,21.6,4.5,7.1,93.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Szczecin,2017-07-02,17.2,13.0,16.0,18.7,1.2,7.5,88.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Belchatow,2017-11-24,9.7,4.2,7.4,18.7,0.0,10.0,78.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2020-11-13,7.8,3.4,6.0,14.8,0.6,8.2,88.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Wroclaw,2017-06-25,27.6,15.7,24.7,17.6,1.5,9.8,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Gostyn,2019-01-26,0.0,-4.5,-1.4,14.8,2.7,5.5,89.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Rawicz,2021-01-17,-11.7,-13.7,-12.3,13.7,0.5,8.7,91.0,0.0,Patchy moderate snow,//cdn.weatherapi.com/weather/64x64/day/329.png
Wroclaw,2020-07-20,24.9,17.9,22.8,21.2,10.5,9.0,78.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Lublin,2017-02-17,2.7,-1.9,0.8,11.2,1.8,4.0,97.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Bialystok,2020-08-26,22.6,11.5,19.2,25.6,2.6,9.1,76.0,0.0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png
Pleszew,2021-01-04,2.6,-4.8,1.7,14.0,0.7,8.0,89.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Rawicz,2018-10-06,19.9,9.3,15.8,14.8,0.0,10.0,57.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Kutno,2018-10-26,9.5,7.3,8.3,21.6,0.6,9.9,77.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Wroclaw,2018-04-14,19.6,8.7,16.1,16.2,0.0,10.0,65.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Szczecin,2018-08-21,22.1,13.9,19.5,13.7,0.1,10.0,67.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Rawicz,2018-05-06,18.6,6.6,15.4,16.2,0.0,10.0,70.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Belchatow,2019-09-26,14.5,11.9,13.7,15.8,1.9,7.4,91.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Szczecin,2020-11-25,4.5,1.4,3.0,11.5,0.0,8.7,85.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Plock,2017-07-01,22.0,13.0,19.5,25.9,7.3,8.5,80.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Gostyn,2020-08-13,26.5,16.2,23.0,17.3,0.0,10.0,59.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Rawicz,2018-08-22,26.3,15.7,23.5,13.3,0.0,10.0,57.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Krotoszyn,2019-05-15,10.7,5.1,8.9,26.6,9.2,5.3,93.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Krotoszyn,2021-03-02,10.7,2.4,7.3,13.7,0.0,10.0,77.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Belchatow,2019-01-09,0.8,-2.1,0.4,19.1,3.2,6.4,97.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Jarocin,2018-01-07,3.2,-0.6,2.1,21.6,0.4,8.0,77.0,0.0,Moderate snow,//cdn.weatherapi.com/weather/64x64/day/332.png
Kutno,2020-11-24,5.6,2.7,4.4,25.9,0.0,10.0,85.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Szczecin,2019-08-25,27.9,16.5,24.5,17.6,0.0,10.0,58.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Szczecin,2017-03-12,7.6,-0.5,4.1,8.6,0.0,6.8,78.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Gostyn,2019-03-17,16.2,5.4,12.0,29.2,3.9,9.8,72.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Bialystok,2017-06-04,23.9,8.3,20.6,12.6,0.8,9.9,58.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Bialystok,2017-06-11,23.3,12.4,19.6,12.6,3.1,9.6,71.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Gostyn,2020-12-06,11.3,5.4,10.0,29.9,0.0,10.0,71.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Wroclaw,2019-03-21,12.9,4.4,10.0,14.4,0.0,10.0,71.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Kutno,2018-10-11,20.1,10.3,16.2,16.9,0.0,10.0,63.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Gostyn,2020-07-06,22.0,15.3,20.2,26.3,0.9,9.9,69.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Pleszew,2018-05-05,16.7,6.4,13.4,17.6,0.0,10.0,60.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Wroclaw,2017-03-04,13.6,3.4,9.7,13.3,0.0,9.0,81.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Jarocin,2019-03-13,8.7,3.3,6.8,28.4,1.2,8.4,63.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Jarocin,2017-05-28,26.7,10.3,22.9,16.2,0.0,10.0,59.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Belchatow,2018-08-31,21.9,14.1,19.2,16.9,0.0,10.0,72.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Belchatow,2018-08-24,30.1,19.9,26.0,21.2,5.2,9.5,65.0,0.0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png
Plock,2019-10-17,16.9,10.0,13.9,17.6,0.0,10.0,68.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Rawicz,2017-08-14,22.6,14.2,20.1,13.0,0.2,9.9,66.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Wroclaw,2020-02-01,12.6,7.5,11.1,22.0,0.1,10.0,78.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Szczecin,2019-11-10,7.7,3.2,5.4,10.1,0.0,8.0,88.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Lodz,2018-01-31,5.1,-0.1,3.2,28.8,0.2,9.0,78.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Pleszew,2019-07-11,21.2,11.7,18.7,17.3,1.5,9.6,66.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Jarocin,2018-07-19,20.6,17.0,19.8,18.0,2.3,8.3,91.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Bialystok,2020-11-29,0.4,-5.9,-0.3,10.8,3.5,2.3,94.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Plock,2020-12-25,3.8,1.0,3.2,23.4,1.8,8.1,85.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Rawicz,2017-12-01,2.5,0.0,1.1,18.0,2.7,4.5,88.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Gostyn,2016-11-28,2.8,-1.5,0.3,22.3,1.1,9.3,80.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Rawicz,2017-07-01,21.5,12.6,19.7,22.7,1.7,8.9,75.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Lublin,2021-03-08,1.3,-2.8,-0.5,23.0,2.3,7.0,74.0,0.0,Moderate or heavy snow showers,//cdn.weatherapi.com/weather/64x64/day/371.png
Lublin,2018-12-19,-4.9,-7.8,-5.9,20.5,0.1,10.0,92.0,0.0,Light snow,//cdn.weatherapi.com/weather/64x64/day/326.png
Belchatow,2016-10-26,8.8,5.4,7.2,7.9,0.0,6.5,84.0,0.0,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png
Belchatow,2019-10-29,9.2,4.3,7.1,16.9,1.0,9.4,77.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Lublin,2018-07-19,25.5,18.0,23.3,18.7,15.3,8.9,85.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Krotoszyn,2019-02-19,10.9,2.4,7.5,21.2,0.1,10.0,71.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Belchatow,2019-06-05,25.8,16.9,23.8,19.4,1.4,9.9,73.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2016-12-08,4.7,0.5,3.7,27.0,1.1,8.9,87.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Belchatow,2019-06-10,28.9,15.4,25.7,22.0,0.6,9.9,71.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Plock,2017-10-01,14.5,6.5,11.2,18.7,0.0,10.0,69.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Pleszew,2017-08-05,26.3,17.6,23.9,15.5,0.3,9.9,61.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2018-10-07,21.2,9.8,16.8,22.3,0.2,9.9,67.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Kutno,2019-04-16,12.4,1.7,9.5,16.6,0.0,10.0,55.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Bialystok,2018-01-07,1.8,-1.3,0.3,20.5,0.0,9.0,77.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Rawicz,2017-03-20,11.5,5.9,9.5,23.8,8.9,4.6,94.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Bialystok,2018-01-12,-1.8,-4.5,-2.9,19.1,0.0,10.0,69.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Lodz,2018-12-02,3.4,-0.6,1.7,26.3,1.0,9.9,78.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Bialystok,2017-01-08,-7.9,-13.7,-10.2,10.4,0.0,3.5,96.0,0.0,Freezing fog,//cdn.weatherapi.com/weather/64x64/day/260.png
Kutno,2018-07-11,24.4,16.6,22.2,11.2,26.1,8.1,77.0,0.0,Torrential rain shower,//cdn.weatherapi.com/weather/64x64/day/359.png
Bialystok,2020-07-05,23.6,15.4,21.4,16.9,2.7,9.8,79.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Bialystok,2020-07-10,23.0,13.1,19.0,20.5,9.3,8.4,87.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Kutno,2019-01-09,1.2,-2.9,0.1,16.6,1.4,5.5,96.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Pleszew,2020-12-16,5.6,0.3,4.8,14.4,0.0,8.3,87.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Kutno,2020-06-24,18.9,13.2,16.9,16.9,34.0,7.8,96.0,0.0,Heavy rain,//cdn.weatherapi.com/weather/64x64/day/308.png
Rawicz,2017-11-29,5.4,1.7,3.4,7.9,0.0,10.0,87.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
