city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Gostyn,2018-06-02,24.0,16.1,22.5,19.1,20.7,8.0,83.0,0.0,Torrential rain shower,//cdn.weatherapi.com/weather/64x64/day/359.png
Pleszew,2016-12-26,8.7,4.6,7.9,31.7,1.5,6.9,89.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Gostyn,2018-09-17,25.7,13.3,21.2,11.2,0.0,10.0,57.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Rawicz,2020-09-26,16.9,10.8,14.2,22.3,16.1,6.7,89.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Plock,2017-01-23,-0.9,-4.3,-3.0,11.5,0.0,5.8,94.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Bialystok,2020-01-03,2.9,-4.2,1.4,22.3,0.0,10.0,65.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Bialystok,2020-01-16,4.7,1.5,3.6,18.7,0.0,10.0,81.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Pleszew,2019-10-17,17.9,10.0,14.8,18.4,0.0,10.0,65.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2016-10-08,9.5,7.4,8.6,11.2,2.4,6.9,89.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Szczecin,2017-08-22,17.6,10.8,14.9,18.0,0.5,10.0,82.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Szczecin,2019-03-15,8.5,4.7,7.5,34.6,4.0,8.8,77.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Kutno,2020-12-19,3.6,0.9,2.1,11.5,0.0,10.0,89.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
